SensorType,hart,time
HRMLED RED,48482.0,2017-05-13 23:38:49.590
HRMLED RED,48397.0,2017-05-13 23:38:49.600
HRMLED RED,48268.0,2017-05-13 23:38:49.610
HRMLED RED,48131.0,2017-05-13 23:38:49.621
HRMLED RED,48001.0,2017-05-13 23:38:49.633
HRMLED RED,47890.0,2017-05-13 23:38:49.641
HRMLED RED,47798.0,2017-05-13 23:38:49.651
HRMLED RED,47708.0,2017-05-13 23:38:49.661
HRMLED RED,47644.0,2017-05-13 23:38:49.671
HRMLED RED,47571.0,2017-05-13 23:38:49.683
HRMLED RED,47523.0,2017-05-13 23:38:49.691
HRMLED RED,47451.0,2017-05-13 23:38:49.705
HRMLED RED,47403.0,2017-05-13 23:38:49.712
HRMLED RED,47329.0,2017-05-13 23:38:49.723
HRMLED RED,47281.0,2017-05-13 23:38:49.739
HRMLED RED,47258.0,2017-05-13 23:38:49.743
HRMLED RED,47220.0,2017-05-13 23:38:49.756
HRMLED RED,47190.0,2017-05-13 23:38:49.763
HRMLED RED,47152.0,2017-05-13 23:38:49.775
HRMLED RED,47130.0,2017-05-13 23:38:49.792
HRMLED RED,47102.0,2017-05-13 23:38:49.794
HRMLED RED,47100.0,2017-05-13 23:38:49.803
HRMLED RED,47090.0,2017-05-13 23:38:49.812
HRMLED RED,47089.0,2017-05-13 23:38:49.823
HRMLED RED,47082.0,2017-05-13 23:38:49.835
HRMLED RED,47053.0,2017-05-13 23:38:49.842
HRMLED RED,47015.0,2017-05-13 23:38:49.853
HRMLED RED,46959.0,2017-05-13 23:38:49.864
HRMLED RED,46909.0,2017-05-13 23:38:49.873
HRMLED RED,46873.0,2017-05-13 23:38:49.886
HRMLED RED,46838.0,2017-05-13 23:38:49.893
HRMLED RED,46812.0,2017-05-13 23:38:49.906
HRMLED RED,46773.0,2017-05-13 23:38:49.914
HRMLED RED,46738.0,2017-05-13 23:38:49.924
HRMLED RED,46703.0,2017-05-13 23:38:49.941
HRMLED RED,46645.0,2017-05-13 23:38:49.943
HRMLED RED,46611.0,2017-05-13 23:38:49.959
HRMLED RED,46544.0,2017-05-13 23:38:49.967
HRMLED RED,46495.0,2017-05-13 23:38:49.979
HRMLED RED,46465.0,2017-05-13 23:38:49.987
HRMLED RED,46428.0,2017-05-13 23:38:49.993
HRMLED RED,46433.0,2017-05-13 23:38:50.004
HRMLED RED,46429.0,2017-05-13 23:38:50.013
HRMLED RED,46419.0,2017-05-13 23:38:50.024
HRMLED RED,46456.0,2017-05-13 23:38:50.037
HRMLED RED,46531.0,2017-05-13 23:38:50.044
HRMLED RED,46650.0,2017-05-13 23:38:50.054
HRMLED RED,46835.0,2017-05-13 23:38:50.064
HRMLED RED,47003.0,2017-05-13 23:38:50.077
HRMLED RED,47216.0,2017-05-13 23:38:50.094
HRMLED RED,47420.0,2017-05-13 23:38:50.096
HRMLED RED,47592.0,2017-05-13 23:38:50.115
HRMLED RED,47709.0,2017-05-13 23:38:50.117
HRMLED RED,47738.0,2017-05-13 23:38:50.129
HRMLED RED,47730.0,2017-05-13 23:38:50.140
HRMLED RED,47696.0,2017-05-13 23:38:50.144
HRMLED RED,47687.0,2017-05-13 23:38:50.157
HRMLED RED,47686.0,2017-05-13 23:38:50.164
HRMLED RED,47696.0,2017-05-13 23:38:50.175
